fileId,fileUrls for custom selected,size
8448407088,/archive/allData/61/MOD021KM/2024/252/MOD021KM.A2024252.0335.061.2024252130921.hdf,74958635
8411463601,/archive/allData/61/MOD021KM/2024/238/MOD021KM.A2024238.0400.061.2024238131900.hdf,77553235
8411463595,/archive/allData/61/MOD021KM/2024/238/MOD021KM.A2024238.0225.061.2024238131855.hdf,76414463
8411463602,/archive/allData/61/MOD021KM/2024/238/MOD021KM.A2024238.0405.061.2024238131854.hdf,77167545
8412135598,/archive/allData/61/MOD021KM/2024/238/MOD021KM.A2024238.1605.061.2024239014317.hdf,169143415
8412919363,/archive/allData/61/MOD021KM/2024/239/MOD021KM.A2024239.0305.061.2024240013332.hdf,72329332
8413860356,/archive/allData/61/MOD021KM/2024/239/MOD021KM.A2024239.1645.061.2024240014008.hdf,169223020
8413860857,/archive/allData/61/MOD021KM/2024/239/MOD021KM.A2024239.1510.061.2024240014036.hdf,174414217
8413863420,/archive/allData/61/MOD021KM/2024/239/MOD021KM.A2024239.1505.061.2024240014302.hdf,173954256
8414401636,/archive/allData/61/MOD021KM/2024/240/MOD021KM.A2024240.0345.061.2024240132047.hdf,75478902
8415772719,/archive/allData/61/MOD021KM/2024/240/MOD021KM.A2024240.1550.061.2024241013546.hdf,174791959
8415776928,/archive/allData/61/MOD021KM/2024/240/MOD021KM.A2024240.1725.061.2024241013700.hdf,168559798
8415779566,/archive/allData/61/MOD021KM/2024/240/MOD021KM.A2024240.1545.061.2024241013644.hdf,169848166
8417543740,/archive/allData/61/MOD021KM/2024/241/MOD021KM.A2024241.0245.061.2024241130953.hdf,75605261
8417544946,/archive/allData/61/MOD021KM/2024/241/MOD021KM.A2024241.0425.061.2024241130955.hdf,78106947
8420105605,/archive/allData/61/MOD021KM/2024/241/MOD021KM.A2024241.1630.061.2024242013114.hdf,171802727
8422094688,/archive/allData/61/MOD021KM/2024/242/MOD021KM.A2024242.0325.061.2024242131957.hdf,81897007
8423470360,/archive/allData/61/MOD021KM/2024/242/MOD021KM.A2024242.1530.061.2024243013307.hdf,174855540
8424640344,/archive/allData/61/MOD021KM/2024/243/MOD021KM.A2024243.0230.061.2024243131826.hdf,74175123
8424641290,/archive/allData/61/MOD021KM/2024/243/MOD021KM.A2024243.0405.061.2024243131900.hdf,80519382
8424641291,/archive/allData/61/MOD021KM/2024/243/MOD021KM.A2024243.0410.061.2024243131858.hdf,75501454
8426245478,/archive/allData/61/MOD021KM/2024/243/MOD021KM.A2024243.1610.061.2024244013622.hdf,168144081
8436340598,/archive/allData/61/MOD021KM/2024/244/MOD021KM.A2024244.1510.061.2024247161146.hdf,171808587
8436366405,/archive/allData/61/MOD021KM/2024/244/MOD021KM.A2024244.1650.061.2024247162145.hdf,168787126
8436383071,/archive/allData/61/MOD021KM/2024/244/MOD021KM.A2024244.0305.061.2024247162933.hdf,79650665
8436386230,/archive/allData/61/MOD021KM/2024/244/MOD021KM.A2024244.0310.061.2024247163021.hdf,79024950
8436394158,/archive/allData/61/MOD021KM/2024/244/MOD021KM.A2024244.1515.061.2024247163154.hdf,172949087
8436484095,/archive/allData/61/MOD021KM/2024/245/MOD021KM.A2024245.0350.061.2024247170701.hdf,75943595
8436494776,/archive/allData/61/MOD021KM/2024/245/MOD021KM.A2024245.1555.061.2024247170950.hdf,174824104
8436516723,/archive/allData/61/MOD021KM/2024/246/MOD021KM.A2024246.0250.061.2024247171853.hdf,79994755
8436553274,/archive/allData/61/MOD021KM/2024/245/MOD021KM.A2024245.1550.061.2024247173034.hdf,170581690
8436581894,/archive/allData/61/MOD021KM/2024/247/MOD021KM.A2024247.0155.061.2024247174013.hdf,75884165
8436597300,/archive/allData/61/MOD021KM/2024/246/MOD021KM.A2024246.1630.061.2024247174503.hdf,168574095
8436597767,/archive/allData/61/MOD021KM/2024/246/MOD021KM.A2024246.1635.061.2024247174503.hdf,171977183
8436612013,/archive/allData/61/MOD021KM/2024/247/MOD021KM.A2024247.0330.061.2024247174902.hdf,81040651
8437988485,/archive/allData/61/MOD021KM/2024/247/MOD021KM.A2024247.1710.061.2024248020521.hdf,168149032
8437993665,/archive/allData/61/MOD021KM/2024/247/MOD021KM.A2024247.1535.061.2024248020744.hdf,175616210
8439238943,/archive/allData/61/MOD021KM/2024/248/MOD021KM.A2024248.0230.061.2024248131346.hdf,78307383
8439238944,/archive/allData/61/MOD021KM/2024/248/MOD021KM.A2024248.0235.061.2024248131349.hdf,74420399
8439238950,/archive/allData/61/MOD021KM/2024/248/MOD021KM.A2024248.0410.061.2024248131346.hdf,80236201
8440202662,/archive/allData/61/MOD021KM/2024/248/MOD021KM.A2024248.1615.061.2024249011823.hdf,165992072
8441162625,/archive/allData/61/MOD021KM/2024/249/MOD021KM.A2024249.0315.061.2024249131307.hdf,76648500
8441168764,/archive/allData/61/MOD021KM/2024/249/MOD021KM.A2024249.0310.061.2024249131820.hdf,82136725
8442317389,/archive/allData/61/MOD021KM/2024/249/MOD021KM.A2024249.1655.061.2024250013831.hdf,166220227
8442346840,/archive/allData/61/MOD021KM/2024/249/MOD021KM.A2024249.1515.061.2024250014932.hdf,172110008
8443562589,/archive/allData/61/MOD021KM/2024/250/MOD021KM.A2024250.0215.061.2024250131011.hdf,77035475
8443562597,/archive/allData/61/MOD021KM/2024/250/MOD021KM.A2024250.0350.061.2024250130916.hdf,82051740
8443564086,/archive/allData/61/MOD021KM/2024/250/MOD021KM.A2024250.0355.061.2024250131025.hdf,75018315
8444875455,/archive/allData/61/MOD021KM/2024/250/MOD021KM.A2024250.1600.061.2024251013312.hdf,172918167
8444876614,/archive/allData/61/MOD021KM/2024/250/MOD021KM.A2024250.1555.061.2024251013343.hdf,163476759
8446193251,/archive/allData/61/MOD021KM/2024/251/MOD021KM.A2024251.0430.061.2024251130809.hdf,80303391
8446193573,/archive/allData/61/MOD021KM/2024/251/MOD021KM.A2024251.0255.061.2024251130839.hdf,79262274
8447295660,/archive/allData/61/MOD021KM/2024/251/MOD021KM.A2024251.1500.061.2024252013257.hdf,174835506
8447295662,/archive/allData/61/MOD021KM/2024/251/MOD021KM.A2024251.1640.061.2024252013256.hdf,168354270
8447296324,/archive/allData/61/MOD021KM/2024/251/MOD021KM.A2024251.1635.061.2024252013307.hdf,164737197
