fileId,fileUrls for custom selected,size
8436489441,/archive/allData/61/MOD021KM/2024/245/MOD021KM.A2024245.1410.061.2024247170808.hdf,171902871
8436493609,/archive/allData/61/MOD021KM/2024/245/MOD021KM.A2024245.1415.061.2024247170950.hdf,175240380
8436494776,/archive/allData/61/MOD021KM/2024/245/MOD021KM.A2024245.1555.061.2024247170950.hdf,174824104
8436542981,/archive/allData/61/MOD021KM/2024/246/MOD021KM.A2024246.1455.061.2024247172504.hdf,174809189
8436553274,/archive/allData/61/MOD021KM/2024/245/MOD021KM.A2024245.1550.061.2024247173034.hdf,170581690
8436558969,/archive/allData/61/MOD021KM/2024/245/MOD021KM.A2024245.1730.061.2024247173158.hdf,166397596
8436561005,/archive/allData/61/MOD021KM/2024/246/MOD021KM.A2024246.1500.061.2024247173301.hdf,170101674
8436597300,/archive/allData/61/MOD021KM/2024/246/MOD021KM.A2024246.1630.061.2024247174503.hdf,168574095
8436597767,/archive/allData/61/MOD021KM/2024/246/MOD021KM.A2024246.1635.061.2024247174503.hdf,171977183
8437981897,/archive/allData/61/MOD021KM/2024/247/MOD021KM.A2024247.1400.061.2024248020212.hdf,169645040
8437983730,/archive/allData/61/MOD021KM/2024/247/MOD021KM.A2024247.1715.061.2024248020307.hdf,170386365
8437987092,/archive/allData/61/MOD021KM/2024/247/MOD021KM.A2024247.1540.061.2024248020425.hdf,169115194
8437988485,/archive/allData/61/MOD021KM/2024/247/MOD021KM.A2024247.1710.061.2024248020521.hdf,168149032
8437993665,/archive/allData/61/MOD021KM/2024/247/MOD021KM.A2024247.1535.061.2024248020744.hdf,175616210
8440197892,/archive/allData/61/MOD021KM/2024/248/MOD021KM.A2024248.1440.061.2024249011604.hdf,173525912
8440197896,/archive/allData/61/MOD021KM/2024/248/MOD021KM.A2024248.1620.061.2024249011601.hdf,165588644
8440202028,/archive/allData/61/MOD021KM/2024/248/MOD021KM.A2024248.1435.061.2024249011813.hdf,171520229
8440202662,/archive/allData/61/MOD021KM/2024/248/MOD021KM.A2024248.1615.061.2024249011823.hdf,165992072
8440207094,/archive/allData/61/MOD021KM/2024/248/MOD021KM.A2024248.1750.061.2024249012048.hdf,167212925
8442307951,/archive/allData/61/MOD021KM/2024/249/MOD021KM.A2024249.1520.061.2024250013434.hdf,173780213
8442317389,/archive/allData/61/MOD021KM/2024/249/MOD021KM.A2024249.1655.061.2024250013831.hdf,166220227
8442320792,/archive/allData/61/MOD021KM/2024/249/MOD021KM.A2024249.1700.061.2024250013945.hdf,168518561
8442346840,/archive/allData/61/MOD021KM/2024/249/MOD021KM.A2024249.1515.061.2024250014932.hdf,172110008
8444875448,/archive/allData/61/MOD021KM/2024/250/MOD021KM.A2024250.1420.061.2024251013306.hdf,176225875
8444875455,/archive/allData/61/MOD021KM/2024/250/MOD021KM.A2024250.1600.061.2024251013312.hdf,172918167
8444876612,/archive/allData/61/MOD021KM/2024/250/MOD021KM.A2024250.1415.061.2024251013332.hdf,169022714
8444876614,/archive/allData/61/MOD021KM/2024/250/MOD021KM.A2024250.1555.061.2024251013343.hdf,163476759
8444876617,/archive/allData/61/MOD021KM/2024/250/MOD021KM.A2024250.1735.061.2024251013344.hdf,164489103
8447295660,/archive/allData/61/MOD021KM/2024/251/MOD021KM.A2024251.1500.061.2024252013257.hdf,174835506
8447295662,/archive/allData/61/MOD021KM/2024/251/MOD021KM.A2024251.1640.061.2024252013256.hdf,168354270
8447296324,/archive/allData/61/MOD021KM/2024/251/MOD021KM.A2024251.1635.061.2024252013307.hdf,164737197
8447296950,/archive/allData/61/MOD021KM/2024/251/MOD021KM.A2024251.1455.061.2024252013305.hdf,162303422
8449463103,/archive/allData/61/MOD021KM/2024/252/MOD021KM.A2024252.1405.061.2024253013420.hdf,172947107
8449463803,/archive/allData/61/MOD021KM/2024/252/MOD021KM.A2024252.1400.061.2024253013433.hdf,175128761
8449463809,/archive/allData/61/MOD021KM/2024/252/MOD021KM.A2024252.1535.061.2024253013453.hdf,169383984
8449463810,/archive/allData/61/MOD021KM/2024/252/MOD021KM.A2024252.1540.061.2024253013432.hdf,168505404
8449463817,/archive/allData/61/MOD021KM/2024/252/MOD021KM.A2024252.1715.061.2024253013435.hdf,166850654
8449463818,/archive/allData/61/MOD021KM/2024/252/MOD021KM.A2024252.1720.061.2024253013436.hdf,172985396
8452269985,/archive/allData/61/MOD021KM/2024/253/MOD021KM.A2024253.1625.061.2024254011136.hdf,162511772
8452270844,/archive/allData/61/MOD021KM/2024/253/MOD021KM.A2024253.1615.061.2024254011303.hdf,165996337
8452270845,/archive/allData/61/MOD021KM/2024/253/MOD021KM.A2024253.1620.061.2024254011353.hdf,162669271
8452272753,/archive/allData/61/MOD021KM/2024/253/MOD021KM.A2024253.1440.061.2024254011405.hdf,170865834
8452276493,/archive/allData/61/MOD021KM/2024/253/MOD021KM.A2024253.1445.061.2024254011633.hdf,171481296
